command,category,purpose,platforms,common_options,machine_readable,agent_use,example,notes
validate,authoring,Validate YAML files without launching a device or browser,android|ios|web,"--json",yes,Run before every device/browser execution,"lumi-tester validate ./test.yaml --json","Treat valid:false as an authoring bug"
list,authoring,List discovered test files and command indexes,android|ios|web,"--json",yes,Use before rerunning a failed command index,"lumi-tester list ./test.yaml --json","Do not count command indexes manually"
schema,authoring,Print bundled Lumi YAML JSON Schema,android|ios|web,"--json",yes,Use when command shape or selector fields are unclear,"lumi-tester schema --json","Prefer schema over guessing YAML fields"
doctor,environment,Check local platform dependencies,android|ios|web,"--platform <platform> --json",yes,Use before first run and when runtime dependencies fail,"lumi-tester doctor --platform android --json","Run separately for android ios and web when doing platform coverage checks"
devices,environment,List connected devices for a platform,android|ios,"--platform <platform>",no,Use before choosing a target mobile device,"lumi-tester devices --platform android","For Android you may also use adb devices -l"
run,execution,Run test file or directory,android|ios|web,"--platform <platform> --device <serial-or-udid> --report --snapshot --events-jsonl --output <dir> --command-index <n>",partial,Run full flows and minimal failing command reruns,"lumi-tester run ./test.yaml --platform android --device <serial> --report --snapshot --events-jsonl --output ./output","Use report/snapshot/events-jsonl for debuggable artifacts"
report,artifacts,Generate report from test results,android|ios|web,"<input> --output <dir>",no,Use when reports need to be regenerated from saved results,"lumi-tester report ./output","Usually run already creates reports with --report"
inspect,selector_discovery,Start web inspector for visual test creation,android|ios|web,"--platform <platform> --device <serial-or-udid> --port <port> --output <yaml>",no,Use for unfamiliar UI and selector discovery,"lumi-tester inspect --platform android --device <serial> --port 9333","Long-running server; stop it after use"
record,authoring,Record user interactions and generate YAML,android,"--output <file> --device <serial> --app <appId> --name <name> --include-waits --include-comments",no,Use when user wants to capture a manual Android flow,"lumi-tester record --device <serial> --app <appId> --output ./recorded.yaml --include-comments","Review generated selectors before committing"
ai,installation,Install AI agent integrations and skill files,android|ios|web,"install",no,Use after package install so Codex can discover the skill,"lumi-tester ai install","One-line AI installers call this automatically"
